Pick,Trade Value,SF Trade Value
2025 1.01,765.9864825,754.7378997
2025 1.02,542.3442683,537.7884246
2025 1.03,507.7241643,468.9808587
2025 1.04,458.8921186,440.998695
2025 1.05,400.6134203,398.4551037
2025 1.06,369.3790416,353.1819948
2025 1.07,356.8524385,330.0492806
2025 1.08,346.0016613,316.5015476
2025 1.09,330.187448,304.9177273
2025 1.10,316.8859171,292.7259067
2025 1.11,310.6398088,282.4696964
2025 1.12,294.9103439,273.5701849
2025 2.01,287.5612217,269.3282464
2025 2.02,276.1439258,260.2522886
2025 2.03,269.4976566,251.231414
2025 2.04,255.0257787,246.5064682
2025 2.05,245.0142851,236.2707428
2025 2.06,238.0635645,227.5309076
2025 2.07,232.8933649,223.4337095
2025 2.08,225.54547,215.933051
2025 2.09,219.3712306,210.3801068
2025 2.10,213.0662421,208.6621884
2025 2.11,204.2152666,199.7289483
2025 2.12,197.1922863,196.976413
2025 3.1,193.0950919,187.830704
2025 3.2,191.2519593,182.2863675
2025 3.3,187.4985582,174.9720812
2025 3.4,184.0778451,171.1307518
2025 3.5,180.8987316,168.3274914
2025 3.6,179.057796,164.2980893
2025 3.7,172.5606702,160.5480556
2025 3.8,170.4081761,156.795214
2025 3.9,166.557781,153.2682099
2025 3.10,161.9691418,148.9911938
2025 3.11,158.7775113,146.0717376
2025 3.12,155.1324363,143.1713867
2025 4.01,150.1591911,139.9985399
2025 4.02,145.8611776,135.8198579
2025 4.03,137.0263565,131.348468
2025 4.04,134.2773963,127.4933288
2025 4.05,131.1531269,123.4732517
2025 4.06,128.3689091,115.4201523
2025 4.07,126.5664356,113.2334374
2025 4.08,123.448806,110.2554859
2025 4.09,120.3809534,107.2948394
2025 4.10,118.2731787,105.2675879
2025 4.11,115.2731787,102.2675879
2025 4.12,112.2731787,99.26758791
2026 1st RD Pick,312.5260696,297.1485825
2026 2nd RD Pick,178.9743933,171.6396553
2026 3rd RD Pick,131.3303562,122.3557052
2026 4th RD Pick,96.44136804,88.19625781
2026 Early 1st RD Pick,426.5525688,412.9698521
2026 Mid 1st RD Pick,276.1587303,262.1602363
2026 Late 1st RD Pick,234.8669096,216.3156591
2027 1st RD Pick,250.0208557,237.718866
2027 2nd RD Pick,143.1795146,137.3117242
2027 3rd RD Pick,105.0642849,97.88456415
2027 4th RD Pick,77.15309443,70.55700625
