RANK,Trade Value,SF Trade Value
1,1000,1000
2,948.490222,925.4253668
3,873.3868051,897.0553989
4,868.0336568,841.0335759
5,863.2535102,828.9866847
6,836.82095,809.0729304
7,792.5840744,767.3772752
8,789.9749622,762.9439599
9,787.0932684,758.2366308
10,765.9864825,754.7378997
11,758.8840427,691.8895029
12,745.6470841,689.5951615
13,731.6813325,687.0611235
14,712.9085673,668.500721
15,699.2840356,662.2551398
16,694.6728292,650.615126
17,684.6327314,644.1735315
18,682.5620409,638.3342428
19,642.6292457,627.6284913
20,640.026512,618.3813547
21,617.341191,609.8454489
22,597.9093696,596.9617202
23,593.731417,595.1408437
24,581.3214114,576.5454473
25,575.5365324,560.0256557
26,565.1345151,557.7369233
27,558.1669664,548.4843503
28,555.437241,545.1919554
29,542.3442683,537.7884246
30,539.0936122,525.9835052
31,532.5194818,520.700914
32,531.3234647,517.0270016
33,527.9598245,511.2510217
34,524.7321896,501.301913
35,520.7796064,501.0272002
36,518.8030093,491.8801121
37,515.7529862,471.8393462
38,507.7241643,468.9808587
39,507.2724524,463.1998502
40,505.7667109,462.721997
41,496.2970487,462.1481241
42,491.0879856,456.3520393
43,485.991381,452.8763071
44,484.4344462,448.4561128
45,480.6724237,442.1598003
46,471.9478748,441.395911
47,458.8921186,440.998695
48,447.5707463,439.6746104
49,424.5289485,431.3473956
50,423.366196,426.7667688
51,420.0171409,422.2850332
52,417.6446998,420.9159315
53,410.4351677,417.6077702
54,407.4077926,409.935776
55,400.6134203,398.4551037
56,398.2848848,388.4995743
57,392.5083585,381.4756286
58,389.7083909,376.284592
59,382.0593473,369.7434804
60,377.4595713,368.2376052
61,376.7746771,353.8710416
62,369.5237418,353.4787273
63,369.3790416,353.1819948
64,368.6857103,347.2073151
65,367.4858921,346.8582903
66,366.9938089,345.1597008
67,366.6847129,334.1654721
68,364.6409251,332.6250934
69,357.5561813,330.8916588
70,356.8524385,330.0492806
71,356.5272101,326.846813
72,353.4748913,326.2445464
73,353.0779134,325.5536293
74,351.7525695,320.8335148
75,351.2402626,319.1314558
76,347.5976009,318.0763871
77,347.2984503,318.064187
78,346.0016613,316.5015476
79,345.2913021,315.5746451
80,342.4047097,312.7318004
81,338.6574677,310.6393265
82,335.2428039,309.3446251
83,334.8439184,308.7257839
84,330.187448,304.9177273
85,327.9874338,303.790677
86,327.9466819,300.3244163
87,326.9941628,299.1840757
88,323.6258961,296.1874999
89,323.2223139,294.9397593
90,321.4728218,294.1650853
91,316.8859171,292.7259067
92,316.3868893,289.7231978
93,313.2040462,289.3724349
94,313.1642807,288.3203784
95,312.0497795,285.2777345
96,311.0885173,283.3073009
97,310.6398088,282.4696964
98,307.2894749,279.5077871
99,307.2470146,279.1528942
100,304.4341539,277.6144659
101,301.728651,274.8563746
102,301.7038462,273.5809385
103,294.9103439,273.5701849
104,293.3310645,273.1421149
105,292.3503739,272.9651155
106,291.470163,270.3432591
107,288.5221545,270.308291
108,287.5612217,269.3282464
109,287.3509911,268.4829536
110,286.9794978,268.0883786
111,286.0969811,265.1422387
112,278.401196,263.065132
113,276.1439258,260.2522886
114,274.6599449,260.2304762
115,274.4569714,257.73381
116,273.9264998,254.2565616
117,272.2282844,252.867811
118,269.4976566,251.231414
119,266.0547963,248.6390618
120,264.5180798,247.7940587
121,262.0405824,247.6091908
122,261.2256056,246.5564451
123,255.0257787,246.5064682
124,251.9388267,239.9571876
125,250.2501188,239.7391247
126,247.4958892,238.7491095
127,246.5405608,237.7541782
128,245.0142851,236.2707428
129,244.3140146,235.8042688
130,243.8263858,234.310931
131,240.9072196,231.9097339
132,238.0635645,227.5309076
133,236.7495763,225.3523026
134,233.0435953,224.635647
135,232.9018474,224.4097379
136,232.8933649,223.4337095
137,231.433498,219.183785
138,229.7716796,218.7645348
139,228.3880485,218.5815713
140,225.8234439,216.4692517
141,225.54547,215.933051
142,223.307539,213.353041
143,220.594971,212.562323
144,220.5660722,211.7222482
145,219.3712306,210.3801068
146,214.4998172,209.7643189
147,214.1120063,208.7984904
148,213.0662421,208.6621884
149,207.8730071,203.1124762
150,206.8365561,202.2477441
151,204.7484767,201.9955421
152,204.2152666,199.7289483
153,201.2776685,198.4377448
154,200.3801384,198.2397276
155,198.0273212,197.5040208
156,197.1922863,196.976413
157,196.8887446,196.6357128
158,194.8449539,188.8813965
159,193.0950919,187.830704
160,192.9479041,185.0211959
161,192.9229694,183.546992
162,192.5846036,182.6429351
163,191.2519593,182.2863675
164,189.1260347,179.2489689
165,187.6443023,175.9956802
166,187.4985582,174.9720812
167,187.2229814,172.55375
168,186.5982044,172.4202085
169,185.1330311,171.9200013
170,184.0778451,171.1307518
