Name,POS,Team,Age,Trade Value,SF Trade Value
Ja'Marr Chase,WR,CIN,25.0,1000.0,841.0335759
Justin Jefferson,WR,MIN,25.0,948.490222,767.3772752
CeeDee Lamb,WR,DAL,26.0,873.3868051,754.7378997
Ashton Jeanty,RB,LV,21.0,868.0336568,758.2366308
Bijan Robinson,RB,ATL,23.0,863.2535102,687.0611235
Jahmyr Gibbs,RB,DET,23.0,836.82095,668.500721
Brock Bowers,TE,LV,22.0,792.5840744,691.8895029
Malik Nabers,WR,NYG,21.0,789.9749622,689.5951615
Puka Nacua,WR,LAR,24.0,787.0932684,644.1735315
Brian Thomas Jr.,WR,JAX,22.0,765.9864825,638.3342428
Amon-Ra St. Brown,WR,DET,25.0,758.8840427,596.9617202
Nico Collins,WR,HOU,26.0,745.6470841,595.1408437
Drake London,WR,ATL,23.0,731.6813325,576.5454473
Omarion Hampton,RB,LAC,22.0,712.9085673,560.0256557
De'Von Achane,RB,MIA,23.0,699.2840356,548.4843503
Ladd McConkey,WR,LAC,23.0,694.6728292,537.7884246
Travis Hunter,WR,JAX,22.0,684.6327314,525.9835052
Saquon Barkley,RB,PHI,28.0,682.5620409,520.700914
Garrett Wilson,WR,NYJ,24.0,642.6292457,517.0270016
Trey McBride,TE,ARI,25.0,640.026512,511.2510217
Tetairoa McMillan,WR,CAR,22.0,617.341191,491.8801121
Jaxon Smith-Njigba,WR,SEA,23.0,597.9093696,471.8393462
A.J. Brown,WR,PHI,27.0,593.731417,462.1481241
Jayden Daniels,QB,WAS,24.0,581.3214114,1000.0
Tee Higgins,WR,CIN,26.0,575.5365324,448.4561128
TreVeyon Henderson,RB,NE,22.0,565.1345151,442.1598003
Lamar Jackson,QB,BAL,28.0,558.1669664,925.4253668
Josh Allen,QB,BUF,29.0,555.437241,897.0553989
Bucky Irving,RB,TB,22.0,542.3442683,441.395911
Marvin Harrison Jr.,WR,ARI,22.0,539.0936122,440.998695
Sam LaPorta,TE,DET,24.0,532.5194818,431.3473956
Breece Hall,RB,NYJ,24.0,531.3234647,426.7667688
RJ Harvey,RB,DEN,24.0,527.9598245,420.9159315
Jonathan Taylor,RB,IND,26.0,524.7321896,417.6077702
Xavier Worthy,WR,KC,22.0,520.7796064,409.935776
Rashee Rice,WR,KC,25.0,518.8030093,398.4551037
Chase Brown,RB,CIN,25.0,515.7529862,381.4756286
DeVonta Smith,WR,PHI,26.0,507.7241643,376.284592
DK Metcalf,WR,PIT,27.0,507.2724524,369.7434804
Jameson Williams,WR,DET,24.0,505.7667109,368.2376052
Quinshon Judkins,RB,CLE,21.0,496.2970487,353.8710416
Jordan Addison,WR,MIN,23.0,491.0879856,353.4787273
Christian McCaffrey,RB,SF,28.0,485.991381,353.1819948
Joe Burrow,QB,CIN,28.0,484.4344462,828.9866847
Jalen Hurts,QB,PHI,26.0,480.6724237,809.0729304
Kenneth Walker III,RB,SEA,24.0,471.9478748,347.2073151
James Cook,RB,BUF,25.0,458.8921186,346.8582903
Kyren Williams,RB,LAR,24.0,447.5707463,345.1597008
Colston Loveland,TE,CHI,21.0,424.5289485,334.1654721
Josh Jacobs,RB,GB,27.0,423.366196,332.6250934
Terry McLaurin,WR,WAS,29.0,420.0171409,330.8916588
George Pickens,WR,DAL,24.0,417.6446998,326.846813
Jerry Jeudy,WR,CLE,26.0,410.4351677,325.5536293
Luther Burden III,WR,CHI,21.0,407.4077926,320.8335148
Emeka Egbuka,WR,TB,22.0,400.6134203,319.1314558
Chris Olave,WR,NO,24.0,398.2848848,318.0763871
Zay Flowers,WR,BAL,24.0,392.5083585,318.064187
Jaylen Waddle,WR,MIA,26.0,389.7083909,316.5015476
Kaleb Johnson,RB,PIT,21.0,382.0593473,315.5746451
Derrick Henry,RB,BAL,31.0,377.4595713,312.7318004
Tyler Warren,TE,IND,23.0,376.7746771,310.6393265
DJ Moore,WR,CHI,28.0,369.5237418,309.3446251
Rome Odunze,WR,CHI,22.0,369.3790416,308.7257839
Chuba Hubbard,RB,CAR,25.0,368.6857103,304.9177273
Matthew Golden,WR,GB,21.0,367.4858921,303.790677
Patrick Mahomes,QB,KC,29.0,366.9938089,762.9439599
George Kittle,TE,SF,31.0,366.6847129,299.1840757
Jayden Higgins,WR,HOU,22.0,364.6409251,296.1874999
Ricky Pearsall,WR,SF,24.0,357.5561813,294.9397593
Drake Maye,QB,NE,22.0,356.8524385,662.2551398
Caleb Williams,QB,CHI,23.0,356.5272101,650.615126
Khalil Shakir,WR,BUF,25.0,353.4748913,294.1650853
T.J. Hockenson,TE,MIN,27.0,353.0779134,289.7231978
Josh Downs,WR,IND,23.0,351.7525695,289.3724349
Bo Nix,QB,DEN,25.0,351.2402626,627.6284913
Brandon Aiyuk,WR,SF,27.0,347.5976009,288.3203784
David Montgomery,RB,DET,27.0,347.2984503,285.2777345
Bhayshul Tuten,RB,JAX,23.0,346.0016613,282.4696964
Cam Skattebo,RB,NYG,23.0,345.2913021,279.5077871
Davante Adams,WR,LAR,32.0,342.4047097,279.1528942
Joe Mixon,RB,HOU,28.0,338.6574677,277.6144659
Tyreek Hill,WR,MIA,31.0,335.2428039,274.8563746
Courtland Sutton,WR,DEN,29.0,334.8439184,273.5809385
Jayden Reed,WR,GB,25.0,330.187448,272.9651155
Jakobi Meyers,WR,LV,28.0,327.9874338,270.3432591
Tre Harris,WR,LAC,23.0,327.9466819,270.308291
Jack Bech,WR,LV,23.0,326.9941628,269.3282464
Tyrone Tracy Jr.,RB,NYG,25.0,323.6258961,268.4829536
Alvin Kamara,RB,NO,29.0,323.2223139,268.0883786
Justin Herbert,QB,LAC,27.0,321.4728218,618.3813547
C.J. Stroud,QB,HOU,23.0,316.8859171,609.8454489
James Conner,RB,ARI,30.0,316.3868893,265.1422387
Tucker Kraft,TE,GB,24.0,313.2040462,263.065132
David Njoku,TE,CLE,28.0,313.1642807,260.2522886
Tony Pollard,RB,TEN,28.0,312.0497795,260.2304762
Brian Robinson Jr.,RB,WAS,26.0,311.0885173,257.73381
