"RANK","Name","POS","Team","Age","Exp"
"1","Ja'Marr Chase","WR","CIN","25","5"
"2","Justin Jefferson","WR","MIN","25","6"
"3","CeeDee Lamb","WR","DAL","26","6"
"4","Ashton Jeanty","RB","LV","21","R"
"5","Bijan Robinson","RB","ATL","23","3"
"6","Jahmyr Gibbs","RB","DET","23","3"
"7","Brock Bowers","TE","LV","22","2"
"8","Malik Nabers","WR","NYG","21","2"
"9","Puka Nacua","WR","LAR","24","3"
"10","Brian Thomas Jr.","WR","JAX","22","2"
"11","Amon-Ra St. Brown","WR","DET","25","5"
"12","Nico Collins","WR","HOU","26","5"
"13","Drake London","WR","ATL","23","4"
"14","Omarion Hampton","RB","LAC","22","R"
"15","De'Von Achane","RB","MIA","23","3"
"16","Ladd McConkey","WR","LAC","23","2"
"17","Travis Hunter","WR","JAX","22","R"
"18","Saquon Barkley","RB","PHI","28","8"
"19","Garrett Wilson","WR","NYJ","24","4"
"20","Trey McBride","TE","ARI","25","4"
"21","Tetairoa McMillan","WR","CAR","22","R"
"22","Jaxon Smith-Njigba","WR","SEA","23","3"
"23","A.J. Brown","WR","PHI","27","7"
"24","Jayden Daniels","QB","WAS","24","2"
"25","Tee Higgins","WR","CIN","26","6"
"26","TreVeyon Henderson","RB","NE","22","R"
"27","Lamar Jackson","QB","BAL","28","8"
"28","Josh Allen","QB","BUF","29","8"
"29","Bucky Irving","RB","TB","22","2"
"30","Marvin Harrison Jr.","WR","ARI","22","2"
"31","Sam LaPorta","TE","DET","24","3"
"32","Breece Hall","RB","NYJ","24","4"
"33","RJ Harvey","RB","DEN","24","R"
"34","Jonathan Taylor","RB","IND","26","6"
"35","Xavier Worthy","WR","KC","22","2"
"36","Rashee Rice","WR","KC","25","3"
"37","Chase Brown","RB","CIN","25","3"
"38","DeVonta Smith","WR","PHI","26","5"
"39","DK Metcalf","WR","PIT","27","7"
"40","Jameson Williams","WR","DET","24","4"
"41","Quinshon Judkins","RB","CLE","21","R"
"42","Jordan Addison","WR","MIN","23","3"
"43","Christian McCaffrey","RB","SF","28","9"
"44","Joe Burrow","QB","CIN","28","6"
"45","Jalen Hurts","QB","PHI","26","6"
"46","Kenneth Walker III","RB","SEA","24","4"
"47","James Cook","RB","BUF","25","4"
"48","Kyren Williams","RB","LAR","24","4"
"49","Colston Loveland","TE","CHI","21","R"
"50","Josh Jacobs","RB","GB","27","7"
"51","Terry McLaurin","WR","WAS","29","7"
"52","George Pickens","WR","DAL","24","4"
"53","Jerry Jeudy","WR","CLE","26","6"
"54","Luther Burden III","WR","CHI","21","R"
"55","Emeka Egbuka","WR","TB","22","R"
"56","Chris Olave","WR","NO","24","4"
"57","Zay Flowers","WR","BAL","24","3"
"58","Jaylen Waddle","WR","MIA","26","5"
"59","Kaleb Johnson","RB","PIT","21","R"
"60","Derrick Henry","RB","BAL","31","10"
"61","Tyler Warren","TE","IND","23","R"
"62","DJ Moore","WR","CHI","28","8"
"63","Rome Odunze","WR","CHI","22","2"
"64","Chuba Hubbard","RB","CAR","25","5"
"65","Matthew Golden","WR","GB","21","R"
"66","Patrick Mahomes","QB","KC","29","9"
"67","George Kittle","TE","SF","31","9"
