"RANK","Name","POS","Team","Age","Exp"
"1","Jayden Daniels","QB","WAS","24","2"
"2","Lamar Jackson","QB","BAL","28","8"
"3","Josh Allen","QB","BUF","29","8"
"4","Ja'Marr Chase","WR","CIN","25","5"
"5","Joe Burrow","QB","CIN","28","6"
"6","Jalen Hurts","QB","PHI","26","6"
"7","Justin Jefferson","WR","MIN","25","6"
"8","Patrick Mahomes","QB","KC","29","9"
"9","Ashton Jeanty","RB","LV","21","R"
"10","CeeDee Lamb","WR","DAL","26","6"
"11","Brock Bowers","TE","LV","22","2"
"12","Malik Nabers","WR","NYG","21","2"
"13","Bijan Robinson","RB","ATL","23","3"
"14","Jahmyr Gibbs","RB","DET","23","3"
"15","Drake Maye","QB","NE","22","2"
"16","Caleb Williams","QB","CHI","23","2"
"17","Puka Nacua","WR","LAR","24","3"
"18","Brian Thomas Jr.","WR","JAX","22","2"
"19","Bo Nix","QB","DEN","25","2"
"20","Justin Herbert","QB","LAC","27","6"
"21","C.J. Stroud","QB","HOU","23","3"
"22","Amon-Ra St. Brown","WR","DET","25","5"
"23","Nico Collins","WR","HOU","26","5"
"24","Drake London","WR","ATL","23","4"
"25","Omarion Hampton","RB","LAC","22","R"
"26","Kyler Murray","QB","ARI","27","7"
"27","De'Von Achane","RB","MIA","23","3"
"28","Brock Purdy","QB","SF","25","4"
"29","Ladd McConkey","WR","LAC","23","2"
"30","Travis Hunter","WR","JAX","22","R"
"31","Saquon Barkley","RB","PHI","28","8"
"32","Garrett Wilson","WR","NYJ","24","4"
"33","Trey McBride","TE","ARI","25","4"
"34","Baker Mayfield","QB","TB","30","8"
"35","Jordan Love","QB","GB","26","6"
"36","Tetairoa McMillan","WR","CAR","22","R"
"37","Jaxon Smith-Njigba","WR","SEA","23","3"
"38","Trevor Lawrence","QB","JAX","25","5"
"39","J.J. McCarthy","QB","MIN","22","2"
"40","Jared Goff","QB","DET","30","10"
"41","A.J. Brown","WR","PHI","27","7"
"42","Dak Prescott","QB","DAL","31","10"
"43","Justin Fields","QB","NYJ","26","5"
"44","Tee Higgins","WR","CIN","26","6"
"45","TreVeyon Henderson","RB","NE","22","R"
"46","Bucky Irving","RB","TB","22","2"
"47","Marvin Harrison Jr.","WR","ARI","22","2"
"48","Cam Ward","QB","TEN","23","R"
"49","Sam LaPorta","TE","DET","24","3"
"50","Breece Hall","RB","NYJ","24","4"
"51","Bryce Young","QB","CAR","23","3"
"52","RJ Harvey","RB","DEN","24","R"
"53","Jonathan Taylor","RB","IND","26","6"
"54","Xavier Worthy","WR","KC","22","2"
"55","Rashee Rice","WR","KC","25","3"
"56","Michael Penix Jr.","QB","ATL","25","2"
"57","Chase Brown","RB","CIN","25","3"
"58","DeVonta Smith","WR","PHI","26","5"
"59","DK Metcalf","WR","PIT","27","7"
"60","Jameson Williams","WR","DET","24","4"
"61","Quinshon Judkins","RB","CLE","21","R"
"62","Jordan Addison","WR","MIN","23","3"
